ime_drzave,ime_izvajalca
Switzerland,"Peter, Sue and Marc"
Luxembourg,Monique Melsen
Belgium,Lily Castel and Jacques Raymond
Yugoslavia,Krunoslav Slabinac
Austria,Marianne Mendt
Norway,Hanne Krogh
Malta,Joe Grech
Luxembourg,Vicky Leandros
United Kingdom,The New Seekers
Germany,Mary Roos
Netherlands,Sandra and Andres
Austria,The Milestones
Italy,Nicola di Bari
Portugal,Carlos Mendes
Switzerland,Véronique Müller
Yugoslavia,Tereza
Spain,Jaime Morey
France,Betty Mars
Finland,Päivi Paunu and Kim Floor
Sweden,Family Four
Norway,Grethe Kausland & Benny Borg
Ireland,Sandie Jones
Monaco,Anne-Marie Godart and Peter MacLane
Belgium,Serge and Christine Ghisoland
Malta,Helen and Joseph
Luxembourg,Anne-Marie David
Spain,Mocedades
United Kingdom,Cliff Richard
Israel,Ilanit
Sweden,The Nova and The Dolls
Finland,Marion Rung
Norway,Bendik Singers
Germany,Gitte
Monaco,Marie
Portugal,Fernando Tordo
Ireland,Maxi
Switzerland,Patrick Juvet
Italy,Massimo Ranieri
Netherlands,Ben Cramer
Yugoslavia,Zdravko Colic
France,Martine Clémenceau
Belgium,Nicole and Hugo
Sweden,ABBA
Italy,Gigliola Cinquetti
Netherlands,Mouth and MacNeal
United Kingdom,Olivia Newton-John
Luxembourg,Ireen Sheer
Monaco,Romuald
Israel,Kaveret (Poogy)
Ireland,Tina
Spain,Peret
Belgium,Jacques Hustin
Greece,Marinella
Yugoslavia,Korni
Finland,Carita
Norway,Anne-Karine Ström and the Bendik Singers
Germany,Cindy und Bert
Switzerland,Piera Martell
Portugal,Paulo de Carvalho
Netherlands,Teach-In
United Kingdom,The Shadows
Italy,Wess & Dori Ghezzi
France,Nicole Rieu
Luxembourg,Géraldine
Switzerland,Simone Drexel
Finland,Pihasoittajat
Sweden,Lars Berghagen and the Dolls
Ireland,The Swarbriggs
Spain,Sergio & Estíbaliz
Israel,Shlomo Artzi
Malta,Renato
Yugoslavia,Pepel In Kri
Monaco,Sophie
Belgium,Ann Christy
Portugal,Duarte Mendes
Germany,Joy Fleming
Norway,Ellen Nikolaysen
Turkey,Semiha Yanki
United Kingdom,Brotherhood of Man
France,Catherine Ferry
Monaco,Mary Christy
Switzerland,"Peter, Sue and Marc"
Austria,Waterloo and Robinson
Israel,"Chocolate, Menta, Mastik"
Italy,Romina and Al Bano
Belgium,Pierre Rapsat
Netherlands,Sandra Reemer
Ireland,Red Hurley
Finland,Fredi and The Friends
Portugal,Carlos do Carmo
Greece,Mariza Koch
Luxembourg,Jürgen Marcus
Germany,Les Humphries Singers
Spain,Braulio
Yugoslavia,Ambasadori
Norway,Anne-Karine Ström
France,Marie Myriam
United Kingdom,Lynsey de Paul and Mike Moran
Ireland,The Swarbriggs Plus Two
Monaco,Michèle Torr
Greece,"Pascalis, Marianna, Robert and Bessy"
Switzerland,Pepe Lienhard Band
Belgium,Dream Express
Germany,Silver Convention
Spain,Micky
Finland,Monica Aspelund
Israel,Ilanit
Netherlands,Heddy Lester
Italy,Mia Martini
Norway,Anita Skorgan
Portugal,Os Amigos
Luxembourg,Anne Marie B.
Austria,Schmetterlinge
Sweden,Forbes
Israel,Izhar Cohen and the Alphabeta
Belgium,Jean Vallée
France,Joël Prévost
Monaco,Caline and Olivier Toussaint
Ireland,Colm T. Wilkinson
Germany,Ireen Sheer
Luxembourg,Baccara
Greece,Tania Tsanaklidou
Spain,José Vélez
Switzerland,Carole Vinci
United Kingdom,Co-Co
Italy,Ricchi e Poveri
Netherlands,Harmony
Sweden,Björn Skifs
Austria,Springtime
Denmark,Mabel
Portugal,Gemini
Finland,Seija Simola
Turkey,Nazar
Norway,Jahn Teigen
Israel,Milk and Honey
Spain,Betty Missiego
France,Anne-Marie David
Germany,Dschinghis Khan
Ireland,Cathal Dunne
Denmark,Tommy Seebach
United Kingdom,Black Lace
Greece,Elpida
Portugal,Manuela Bravo
Switzerland,"Peter, Sue and Marc and Pfuri, Gorps and Kniri"
Norway,Anita Skorgan
Netherlands,Xandra
Luxembourg,Jeane Manson
Finland,Katri-Helena
Italy,Matia Bazar
Monaco,Laurent Vaguener
Sweden,Ted Gärdestad
Belgium,Micha Marah
Austria,Christina Simon
Ireland,Johnny Logan
Germany,Katja Ebstein
United Kingdom,Prima Donna
Switzerland,Paola
Netherlands,Maggie MacNeal
Italy,Alan Sorrenti
Portugal,José Cid
Austria,Blue Danube
Luxembourg,Sophie and Magaly
Sweden,Tomas Ledin
France,Profil
Spain,Trigo Limpio
Greece,Anna Vissi and the Epikouri
Denmark,Bamses Venner
Turkey,Ajda Pekkan
Norway,Sverre Kjellsberg & Mattis Hætta
Belgium,Telex
Morocco,Samira Bensaïd
Finland,Vesa-Matti Loiri
United Kingdom,Bucks Fizz
Germany,Lena Valaitis
France,Jean Gabilou
Switzerland,"Peter, Sue and Marc"
Ireland,Sheeba
Cyprus,Island
Israel,Habibi
Greece,Yiannis Dimitras
Netherlands,Linda Williams
Sweden,Björn Skifs
Luxembourg,Jean-Claude Pascal
Denmark,Debbie Cameron and Tommy Seebach
Belgium,Emly Starr
Spain,Bacchelli
Yugoslavia,Seid-Memic Vajta
Finland,Riki Sorsa
Austria,Marty Brem
Turkey,Modern Folk Trio and Aysegül
