leto,kdo,komu,tocke
1959,mc,mc,0
1959,nl,nl,0
1959,nl,gb,5
1959,nl,fr,0
1959,nl,ch,0
1959,nl,dk,1
1959,nl,it,0
1959,nl,be,1
1959,nl,de,0
1959,nl,se,3
1959,nl,at,0
1959,nl,mc,0
1959,se,nl,0
1959,se,gb,0
1959,se,fr,0
1959,se,ch,3
1959,se,dk,4
1959,se,it,1
1959,se,be,0
1959,se,de,0
1959,se,se,0
1959,se,at,2
1959,se,mc,0
1959,ch,nl,0
1959,ch,gb,3
1959,ch,fr,1
1959,ch,ch,0
1959,ch,dk,1
1959,ch,it,3
1959,ch,be,0
1959,ch,de,1
1959,ch,se,0
1959,ch,at,1
1959,ch,mc,0
1959,gb,nl,1
1959,gb,gb,0
1959,gb,fr,0
1959,gb,ch,5
1959,gb,dk,2
1959,gb,it,0
1959,gb,be,2
1959,gb,de,0
1959,gb,se,0
1959,gb,at,0
1959,gb,mc,0
1960,at,fr,1
1960,at,gb,3
1960,at,mc,0
1960,at,no,1
1960,at,de,2
1960,at,be,1
1960,at,at,0
1960,at,ch,2
1960,at,it,0
1960,at,se,0
1960,at,dk,0
1960,at,nl,0
1960,at,lu,0
1960,be,fr,3
1960,be,gb,1
1960,be,mc,0
1960,be,no,1
1960,be,de,2
1960,be,be,0
1960,be,at,1
1960,be,ch,0
1960,be,it,1
1960,be,se,0
1960,be,dk,0
1960,be,nl,1
1960,be,lu,0
1960,dk,fr,4
1960,dk,gb,0
1960,dk,mc,2
1960,dk,no,2
1960,dk,de,0
1960,dk,be,0
1960,dk,at,2
1960,dk,ch,0
1960,dk,it,0
1960,dk,se,0
1960,dk,dk,0
1960,dk,nl,0
1960,dk,lu,0
1960,fr,fr,0
1960,fr,gb,0
1960,fr,mc,3
1960,fr,no,1
1960,fr,de,4
1960,fr,be,0
1960,fr,at,0
1960,fr,ch,0
1960,fr,it,0
1960,fr,se,2
1960,fr,dk,0
1960,fr,nl,0
1960,fr,lu,0
1960,de,fr,1
1960,de,gb,1
1960,de,mc,7
1960,de,no,0
1960,de,de,0
1960,de,be,1
1960,de,at,0
1960,de,ch,0
1960,de,it,0
1960,de,se,0
1960,de,dk,0
1960,de,nl,0
1960,de,lu,0
1960,it,fr,0
1960,it,gb,2
1960,it,mc,0
1960,it,no,0
1960,it,de,0
1960,it,be,3
1960,it,at,1
1960,it,ch,1
1960,it,it,0
1960,it,se,1
1960,it,dk,0
1960,it,nl,1
1960,it,lu,1
1960,lu,fr,1
1960,lu,gb,5
1960,lu,mc,1
1960,lu,no,0
1960,lu,de,0
1960,lu,be,0
1960,lu,at,0
1960,lu,ch,1
1960,lu,it,1
1960,lu,se,0
1960,lu,dk,1
1960,lu,nl,0
1960,lu,lu,0
1960,mc,fr,5
1960,mc,gb,1
1960,mc,mc,0
1960,mc,no,0
1960,mc,de,2
1960,mc,be,0
1960,mc,at,0
1960,mc,ch,0
1960,mc,it,2
1960,mc,se,0
1960,mc,dk,0
1960,mc,nl,0
1960,mc,lu,0
1960,nl,fr,2
1960,nl,gb,5
1960,nl,mc,0
1960,nl,no,1
1960,nl,de,0
1960,nl,be,0
1960,nl,at,0
1960,nl,ch,0
1960,nl,it,1
1960,nl,se,1
1960,nl,dk,0
1960,nl,nl,0
1960,nl,lu,0
1960,no,fr,5
