leto,ime_drzave,ime_izvajalca,naslov_pesmi,mesto,tocke_v_finalu,youtube_link
1957,Switzerland,Lys Assia,L'enfant Que J'étais,8.0,5.0,https://youtube.com/watch?v=16ltDhw2lxs
1957,Austria,Bob Martin,"Wohin, Kleines Pony",10.0,3.0,https://youtube.com/watch?v=5mETWk_nB1Q
1958,France,André Claveau,Dors Mon Amour,1.0,27.0,https://youtube.com/watch?v=H2CQBXmgBmM
1958,Switzerland,Lys Assia,Giorgio,2.0,24.0,https://youtube.com/watch?v=gGsalvX8K4c
1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3.0,13.0,https://youtube.com/watch?v=6DTo5aVLq5E
1958,Sweden,Alice Babs,Lilla Stjärna,4.0,10.0,https://youtube.com/watch?v=f5DNvsB94uI
1958,Belgium,Fud Leclerc,Ma Petite Chatte,5.0,8.0,https://youtube.com/watch?v=i-k1TjSHSjU
1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,5.0,8.0,https://youtube.com/watch?v=rXnNYa01hYg
1958,Germany,Margot Hielscher,Für Zwei Groschen Musik,7.0,5.0,https://youtube.com/watch?v=cwGVd7Cj1sw
1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,8.0,3.0,https://youtube.com/watch?v=IGMLrLgVmR0
1958,Netherlands,Corry Brokken,Heel De Wereld,9.0,1.0,https://youtube.com/watch?v=yoiVXVA8fs8
1958,Luxembourg,Solange Berry,Un Grand Amour,9.0,1.0,https://youtube.com/watch?v=si14zjMHrhI
1959,Netherlands,Teddy Scholten,Een Beetje,1.0,21.0,https://youtube.com/watch?v=DG12m8uF8nc
1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,2.0,16.0,https://youtube.com/watch?v=0m4ADnfu91k
1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",3.0,15.0,https://youtube.com/watch?v=S8muEiL3pyA
1959,Switzerland,Christa Williams,Irgendwoher,4.0,14.0,https://youtube.com/watch?v=uAB_OJ8UveU
1959,Denmark,Birthe Wilke,"Uh, Jeg Ville Ønske Jeg Var Dig",5.0,12.0,https://youtube.com/watch?v=0HkweMhGKG8
1959,Italy,Domenico Modugno,Piove,6.0,9.0,https://youtube.com/watch?v=n0enVNAU5sY
1959,Belgium,Bob Benny,Hou Toch Van Mij,6.0,9.0,https://youtube.com/watch?v=VkxrfcoSwOs
1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,8.0,5.0,https://youtube.com/watch?v=hetvfnTLsT0
1959,Sweden,Brita Borg,Augustin,9.0,4.0,https://youtube.com/watch?v=AsTBC75F5Ds
1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,9.0,4.0,https://youtube.com/watch?v=_PMFkXaW090
1959,Monaco,Jacques Pills,Mon Ami Pierrot,11.0,1.0,https://youtube.com/watch?v=Gwqzn3FNVWw
1960,France,Jacqueline Boyer,Tom Pillibi,1.0,32.0,https://youtube.com/watch?v=pL2cekes0yo
1960,United Kingdom,Bryan Johnson,"Looking High, High, High",2.0,25.0,https://youtube.com/watch?v=C2GivwSboXM
1960,Monaco,François Deguelt,Ce Soir-là,3.0,15.0,https://youtube.com/watch?v=AMi5qpBbSVw
1960,Norway,Nora Brockstedt,Voi-voi,4.0,11.0,https://youtube.com/watch?v=gvPieP0mys4
1960,Germany,Wyn Hoop,"Bonne Nuit, Ma Chérie!",4.0,11.0,https://youtube.com/watch?v=3dP6ASCSLSk
1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,6.0,9.0,https://youtube.com/watch?v=byD35ZhNeI8
1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,7.0,6.0,https://youtube.com/watch?v=wSdNep2GPUE
1960,Switzerland,Anita Traversi,Cielo E Terra,8.0,5.0,https://youtube.com/watch?v=wQFa5bcRXUE
1960,Italy,Renato Rascel,Romantica,8.0,5.0,https://youtube.com/watch?v=JfeQAUOktng
1960,Sweden,Siw Malmkvist,Alla Andra Får Varann,10.0,4.0,https://youtube.com/watch?v=t5zNjGUkUec
1960,Denmark,Katy Bødtger,Det Var En Yndig Tid,10.0,4.0,https://youtube.com/watch?v=WgBhdYQkIr0
1960,Netherlands,Rudi Carrell,Wat Een Geluk,12.0,2.0,https://youtube.com/watch?v=eLx8spP9XwE
1960,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,13.0,1.0,https://youtube.com/watch?v=csoaoaVg_I8
1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1.0,31.0,https://youtube.com/watch?v=g5ZDbEBt3iY
1961,United Kingdom,The Allisons,Are You Sure?,2.0,24.0,https://youtube.com/watch?v=ySufc64ssis
1961,Switzerland,Franca di Rienzo,Nous Aurons Demain,3.0,16.0,https://youtube.com/watch?v=03-NjbYQz14
1961,France,Jean-Paul Mauric,Printemps (avril Carillonne),4.0,13.0,https://youtube.com/watch?v=Ci-6Sl2jO_4
1961,Denmark,Dario Campeotto,Angelique,5.0,12.0,https://youtube.com/watch?v=OdhVPUcimAM
1961,Italy,Betty Curtis,Al Di Là,5.0,12.0,https://youtube.com/watch?v=yUt5XlrAAY4
1961,Norway,Nora Brockstedt,Sommer i Palma,7.0,10.0,https://youtube.com/watch?v=5i_BCD46-fo
1961,Yugoslavia,Ljiljana Petrović,Neke Davne Zvezde,8.0,9.0,https://youtube.com/watch?v=0F7t2NFx8Ew
1961,Spain,Conchita Bautista,Estando Contigo,9.0,8.0,https://youtube.com/watch?v=FAvnLCTvIwo
1961,Monaco,Colette Deréal,"Allons, Allons Les Enfants",10.0,6.0,https://youtube.com/watch?v=mg1ydx9FCyA
1961,Finland,Laila Kinnunen,Valoa Ikkunassa,10.0,6.0,https://youtube.com/watch?v=xMu44znU-8A
1961,Netherlands,Greetje Kauffeld,Wat Een Dag,10.0,6.0,https://youtube.com/watch?v=eBnIF9gQxkg
1961,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,13.0,3.0,https://youtube.com/watch?v=FGAfCD0mzVc
1961,Sweden,Lill-Babs,"April, April",14.0,2.0,https://youtube.com/watch?v=JzldSvZG6cc
1961,Austria,Jimmy Makulis,Sehnsucht,15.0,1.0,https://youtube.com/watch?v=GYYr9pLQNOQ
1961,Belgium,Bob Benny,"September, Gouden Roos",15.0,1.0,https://youtube.com/watch?v=lwEBgI8-KLs
1962,France,Isabelle Aubret,Un Premier Amour,1.0,26.0,https://youtube.com/watch?v=KNeYh0Rh6_8
1962,Monaco,François Deguelt,Dis Rien,2.0,13.0,https://youtube.com/watch?v=Qeyse4ot0h0
1962,Luxembourg,Camillo Felgen,Petit Bonhomme,3.0,11.0,https://youtube.com/watch?v=iPyam2tNeRg
1962,Yugoslavia,Lola Novaković,Ne Pali Svetlo U Sumrak,4.0,10.0,https://youtube.com/watch?v=Bfd8_B10x9g
1962,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,4.0,10.0,https://youtube.com/watch?v=ABJgaFnCn40
1962,Germany,Conny Froboess,Zwei Kleine Italiener,6.0,9.0,https://youtube.com/watch?v=FMPBVUgyRiI
1962,Finland,Marion Rung,Tipi-tii,7.0,4.0,https://youtube.com/watch?v=vn3ufKi2PXw
1962,Sweden,Inger Berggren,Sol Och Vår,7.0,4.0,https://youtube.com/watch?v=hJAC1hZ7mg8
1962,Italy,Claudio Villa,"Addio, Addio",9.0,3.0,https://youtube.com/watch?v=npD6wev8Dtw
1962,Denmark,Ellen Winther,Vuggevise,10.0,2.0,https://youtube.com/watch?v=fdEXLuIFSrA
1962,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",10.0,2.0,https://youtube.com/watch?v=58QSyaUc6Ms
1962,Switzerland,Jean Philippe,Le Retour,10.0,2.0,https://youtube.com/watch?v=UMCltpzNK64
1962,Belgium,Fud Leclerc,Ton Nom,13.0,0.0,https://youtube.com/watch?v=nJ5wY_NIEGM
1962,Spain,Victor Balaguer,Llámame,13.0,0.0,https://youtube.com/watch?v=1bqOFeTvXmA
1962,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,13.0,0.0,https://youtube.com/watch?v=1cRmfgPeK40
1962,Netherlands,De Spelbrekers,Katinka,13.0,0.0,https://youtube.com/watch?v=DPzoydLh5YY
1963,Denmark,Grethe & Jørgen Ingmann,Dansevise,1.0,42.0,https://youtube.com/watch?v=AYyhJvRE3mQ
1963,Switzerland,Esther Ofarim,T'en Va Pas,2.0,40.0,https://youtube.com/watch?v=kDYMzyREGCI
1963,Italy,Emilio Pericoli,Uno Per Tutte,3.0,37.0,https://youtube.com/watch?v=gn8GMilGDZw
1963,United Kingdom,Ronnie Carroll,Say Wonderful Things,4.0,28.0,https://youtube.com/watch?v=sxyLdSzGFIg
1963,France,Alain Barrière,Elle était Si Jolie,5.0,25.0,https://youtube.com/watch?v=_2tzFKthcVs
1963,Monaco,Françoise Hardy,L'amour S'en Va,5.0,25.0,https://youtube.com/watch?v=YgoaMzC3W18
1963,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,7.0,16.0,https://youtube.com/watch?v=biJfeQaHZe0
1963,Luxembourg,Nana Mouskouri,A Force De Prier,8.0,13.0,https://youtube.com/watch?v=98HlhsUVX70
1963,Germany,Heidi Brühl,Marcel,9.0,5.0,https://youtube.com/watch?v=K0kB6xoGM8g
1963,Belgium,Jacques Raymond,Waarom,10.0,4.0,https://youtube.com/watch?v=Pi4vDTGHArQ
1963,Yugoslavia,Vice Vukov,Brodovi,11.0,3.0,https://youtube.com/watch?v=fi0HHCI8698
1963,Spain,José Guardiola,Algo Prodigioso,12.0,2.0,https://youtube.com/watch?v=lO5xI5PkdOQ
1963,Netherlands,Annie Palmen,Een Speeldoos,13.0,0.0,https://youtube.com/watch?v=lWINVYSsrTU
1963,Norway,Anita Thallaug,Solhverv,13.0,0.0,https://youtube.com/watch?v=kaOIm-2hfm4
1963,Finland,Laila Halme,Muistojeni Laulu,13.0,0.0,https://youtube.com/watch?v=632aaGy8QGk
1963,Sweden,Monica Zetterlund,En Gång I Stockholm,13.0,0.0,https://youtube.com/watch?v=IReJgMZ8Z6k
1964,Italy,Gigliola Cinquetti,Non Ho L'étà,1.0,49.0,https://youtube.com/watch?v=Utd9cHBPfRA
1964,United Kingdom,Matt Monro,I Love The Little Things,2.0,17.0,https://youtube.com/watch?v=3aopcEG5Yfc
1964,Monaco,Romuald,Où Sont-elles Passées?,3.0,15.0,https://youtube.com/watch?v=bemKlMd39fc
1964,Luxembourg,Hugues Aufray,Dès Que Le Printemps Revient,4.0,14.0,https://youtube.com/watch?v=HQPy7voOC10
1964,France,Rachel,Le Chant De Mallory,4.0,14.0,https://youtube.com/watch?v=qq_1Kg2-8PU
1964,Austria,Udo Jürgens,"Warum Nur, Warum?",6.0,11.0,https://youtube.com/watch?v=KrN_p9jbsfk
1964,Finland,Lasse Mårtenson,Laiskotellen,7.0,9.0,https://youtube.com/watch?v=az0qmvY29mo
1964,Norway,Arne Bendiksen,Spiral,8.0,6.0,https://youtube.com/watch?v=V6ecLdbR_is
1964,Denmark,Bjørn Tidmand,Sangen Om Dig,9.0,4.0,https://youtube.com/watch?v=gJ3GR2usfwU
1964,Netherlands,Anneke Grönloh,Jij Bent Mijn Leven,10.0,2.0,https://youtube.com/watch?v=mT51r1Up21A
1964,Belgium,Robert Cogoi,Près De Ma Rivière,10.0,2.0,https://youtube.com/watch?v=J3F1lYxBv9s
1964,Spain,"Tim, Nelly and Tony",Caracola,12.0,1.0,https://youtube.com/watch?v=jWtEypoNSno
1964,Germany,Nora Nova,Man Gewöhnt Sich So Schnell An Das Schöne,13.0,0.0,https://youtube.com/watch?v=xFFiqaB30t8
1964,Portugal,António Calvário,Oração,13.0,0.0,https://youtube.com/watch?v=MNlgtZajHvY
1964,Yugoslavia,Sabahudin Kurt,Život je sklopio krug,13.0,0.0,https://youtube.com/watch?v=6A9BH2Za1d0
1964,Switzerland,Anita Traversi,I Miei Pensieri,13.0,0.0,https://youtube.com/watch?v=_LVzg3_6Wmo
1965,Luxembourg,France Gall,"Poupée De Cire, Poupée De Son",1.0,32.0,https://youtube.com/watch?v=7cv9NIzGmSI
1965,United Kingdom,Kathy Kirby,I Belong,2.0,26.0,https://youtube.com/watch?v=OeDI52bdntQ
1965,France,Guy Mardel,N'avoue Jamais,3.0,22.0,https://youtube.com/watch?v=vmVnRGU7QfM
1965,Austria,Udo Jürgens,"Sag Ihr, Ich Lass' Sie Grüßen",4.0,16.0,https://youtube.com/watch?v=G4qjmqacMTA
1965,Italy,Bobby Solo,"Se Piangi, Se Ridi",5.0,15.0,https://youtube.com/watch?v=Wnyfa-7Tic4
1965,Ireland,Butch Moore,I'm Walking The Streets In The Rain,6.0,11.0,https://youtube.com/watch?v=6RVo0MD9rB8
1965,Denmark,Birgit Brüel,For Din Skyld,7.0,10.0,https://youtube.com/watch?v=Vd5ArHG65U0
1965,Switzerland,Yovanna,Non à Jamais Sans Toi,8.0,8.0,https://youtube.com/watch?v=lYCmykU9i9w
1965,Monaco,Marjorie Noël,Va Dire à L'amour,9.0,7.0,https://youtube.com/watch?v=o0ah4H9XCrI
1965,Sweden,Ingvar Wixell,Absent Friend,10.0,6.0,https://youtube.com/watch?v=Ab5HKubM9sA
1965,Netherlands,Conny Van den bos,Het Is Genoeg,11.0,5.0,https://youtube.com/watch?v=biu20ms4udc
1965,Yugoslavia,Vice Vukov,Ceznja,12.0,2.0,https://youtube.com/watch?v=iXJxDa05ywE
1965,Norway,Kirsti Sparboe,Karusell,13.0,1.0,https://youtube.com/watch?v=7r_wetdKq1w
1965,Portugal,Simone de Oliviera,Sol De Inverno,13.0,1.0,https://youtube.com/watch?v=QHi3eP7YwwE
1965,Spain,Conchita Bautista,"Qué Bueno, Qué Bueno",15.0,0.0,https://youtube.com/watch?v=V9TbIw45Gec
1965,Germany,Ulla Wiesner,"Paradies, Wo Bist Du?",15.0,0.0,https://youtube.com/watch?v=3biE-kqszkk
1965,Belgium,Lize Marke,Als Het Weer Lente Is,15.0,0.0,https://youtube.com/watch?v=fChcH7yu3Qc
1965,Finland,Viktor Klimenko,Aurinko Laskee Länteen,15.0,0.0,https://youtube.com/watch?v=YxC-ieoMj8A
1966,Austria,Udo Jürgens,Merci Chérie,1.0,31.0,https://youtube.com/watch?v=r7gPRSdv_as
1966,Sweden,Lill Lindfors & Svante Thuresson,Nygammal Vals,2.0,16.0,https://youtube.com/watch?v=P3HRr9G9c_s
1966,Norway,Åse Kleveland,Intet Er Nytt Under Solen,3.0,15.0,https://youtube.com/watch?v=hS1-YJtovaI
1966,Belgium,Tonia,"Un Peu De Poivre, Un Peu De Sel",4.0,14.0,https://youtube.com/watch?v=gtqLtxwPStk
1966,Ireland,Dickie Rock,Come Back To Stay,4.0,14.0,https://youtube.com/watch?v=aRBnF58ykIQ
1966,Switzerland,Madeleine Pascal,Ne Vois-tu Pas?,6.0,12.0,https://youtube.com/watch?v=n40_VHZoPBY
1966,Yugoslavia,Berta Ambroz,Brez Besed,7.0,9.0,https://youtube.com/watch?v=_5BLw8baVl0
1966,Spain,Raphael,Yo Soy Aquél,7.0,9.0,https://youtube.com/watch?v=4wQ_sRUCfpM
1966,United Kingdom,Kenneth McKellar,A Man Without Love,9.0,8.0,https://youtube.com/watch?v=qfKk0uEGsPA
1966,Germany,Margot Eskens,Die Zeiger Der Uhr,10.0,7.0,https://youtube.com/watch?v=qdW0Fb5tKeg
1966,Luxembourg,Michèle Torr,Ce Soir Je T'attendais,10.0,7.0,https://youtube.com/watch?v=wXLGzNyb1j0
1966,Finland,Ann-Christine Nyström,Play-boy,10.0,7.0,https://youtube.com/watch?v=qib45U2DxPc
1966,Portugal,Madalena Iglesias,Ele E Ela,13.0,6.0,https://youtube.com/watch?v=FujSlB4SZjY
1966,Denmark,Ulla Pia,"Stop, Ja Stop - Ja Stop, Mens Legen Er Go",14.0,4.0,https://youtube.com/watch?v=pj_O8uVZcfU
1966,Netherlands,Milly Scott,Fernando En Philippo,15.0,2.0,https://youtube.com/watch?v=mVHqkE5Qx18
1966,France,Dominique Walter,Chez Nous,16.0,1.0,https://youtube.com/watch?v=vHGhcmVDYcc
1966,Monaco,Tereza,Bien Plus Fort,17.0,0.0,https://youtube.com/watch?v=cfsMknxN5GA
1966,Italy,Domenico Modugno,Dio Come Ti Amo,17.0,0.0,https://youtube.com/watch?v=UReor05rPsI
1967,United Kingdom,Sandie Shaw,Puppet On A String,1.0,47.0,https://youtube.com/watch?v=OkbVhjxdr8A
1967,Ireland,Sean Dunphy,If I Could Choose,2.0,22.0,https://youtube.com/watch?v=kDFmu-klR78
1967,France,Noëlle Cordier,Il Doit Faire Beau Là-bas,3.0,20.0,https://youtube.com/watch?v=9eWFFOduXWI
1967,Luxembourg,Vicky,L'amour Est Bleu,4.0,17.0,https://youtube.com/watch?v=nD4ib9-laGY
1967,Monaco,Minouche Barelli,Boum-badaboum,5.0,10.0,https://youtube.com/watch?v=aPwd6IKgGQQ
1967,Spain,Raphael,Hablemos Del Amor,6.0,9.0,https://youtube.com/watch?v=iuFiQLQYM7w
1967,Belgium,Louis Neefs,Ik Heb Zorgen,7.0,8.0,https://youtube.com/watch?v=SDXe3A8a5NM
1967,Sweden,Östen Warnerbring,Som En Dröm,8.0,7.0,https://youtube.com/watch?v=egGTA2yU0RU
1967,Germany,Inge Brück,Anouschka,8.0,7.0,https://youtube.com/watch?v=snx9B6tKuGU
1967,Yugoslavia,Lado Leskovar,Vse Rože Sveta,8.0,7.0,https://youtube.com/watch?v=Fy6oHSDCAXQ
1967,Italy,Claudio Villa,Non Andare Più Lontano,11.0,4.0,https://youtube.com/watch?v=FlnJLOjsV44
1967,Portugal,Eduardo Nascimento,O Vento Mudou,12.0,3.0,https://youtube.com/watch?v=Hf4NizmlouY
1967,Finland,Fredi,Varjoon-suojaan,12.0,3.0,https://youtube.com/watch?v=-GrU7Jfc9HM
1967,Netherlands,Thérèse Steinmetz,Ring-dinge,14.0,2.0,https://youtube.com/watch?v=54AX_A4Fcks
1967,Austria,Peter Horten,Warum Es Hunderttausend Sterne Gibt,14.0,2.0,https://youtube.com/watch?v=ZgnZfdkQ530
1967,Norway,Kirsti Sparboe,Dukkemann,14.0,2.0,https://youtube.com/watch?v=Y7I__FNMevk
1967,Switzerland,Géraldine,Quel Cœur Vas-tu Briser?,17.0,0.0,https://youtube.com/watch?v=cd34NSLZIME
1968,Spain,Massiel,"La, La, La...",1.0,29.0,https://youtube.com/watch?v=J4g5QYJOFzQ
1968,United Kingdom,Cliff Richard,Congratulations,2.0,28.0,https://youtube.com/watch?v=rcsbL1ZcQhE
1968,France,Isabelle Aubret,La Source,3.0,20.0,https://youtube.com/watch?v=t4rlmiBkuKg
1968,Ireland,Pat McGeegan,Chance Of A Lifetime,4.0,18.0,https://youtube.com/watch?v=P1qFcgBiWLU
1968,Sweden,Claes-Göran Hederström,"Det Börjar Verka Kärlek, Banne Mej",5.0,15.0,https://youtube.com/watch?v=RrAFwIoY_z0
1968,Germany,Wencke Myhre,Ein Hoch Der Liebe,6.0,11.0,https://youtube.com/watch?v=SnDbsHRCkVc
1968,Belgium,Claude Lombard,Quand Tu Reviendras,7.0,8.0,https://youtube.com/watch?v=fqk8ZOvluhw
1968,Monaco,Line & Willy,A Chacun Sa Chanson,7.0,8.0,https://youtube.com/watch?v=Ll8NNJA3MxY
1968,Yugoslavia,Luci Kapurso & Hamo Hajdarhodzic,Jedan Dan,7.0,8.0,https://youtube.com/watch?v=MMyESJ9xuCY
1968,Italy,Sergio Endrigo,Marianne,10.0,7.0,https://youtube.com/watch?v=cGAuMqOB5S8
1968,Portugal,Carlos Mendes,Verão,11.0,5.0,https://youtube.com/watch?v=n1piuZv34yA
1968,Luxembourg,Chris Baldo & Sophie Garel,Nous Vivrons D'amour,11.0,5.0,https://youtube.com/watch?v=lZ-88XdFAW8
1968,Austria,Karel Gott,Tausend Fenster,13.0,2.0,https://youtube.com/watch?v=rWrYJLLfo2o
1968,Switzerland,Gianni Mascolo,Guardando Il Sole,13.0,2.0,https://youtube.com/watch?v=65iMtWFurdk
1968,Norway,Odd Børre,Stress,13.0,2.0,https://youtube.com/watch?v=b4R7F9mFoaM
1968,Netherlands,Ronnie Tober,Morgen,16.0,1.0,https://youtube.com/watch?v=dIRKl76BXRU
1968,Finland,Kristina Hautala,Kun Kello Käy,16.0,1.0,https://youtube.com/watch?v=3ADgVukcSiU
1969,Spain,Salomé,Vivo Cantando,1.0,18.0,https://youtube.com/watch?v=_-PVtGc59CI
1969,United Kingdom,Lulu,Boom Bang-a-bang,1.0,18.0,https://youtube.com/watch?v=4ew43u2gS0Y
1969,Netherlands,Lenny Kuhr,De Troubadour,1.0,18.0,https://youtube.com/watch?v=dsP3lhz5J30
1969,France,Frida Boccara,"Un Jour, Un Enfant",1.0,18.0,https://youtube.com/watch?v=M02ylY1DTC4
1969,Switzerland,Paola del Medico,"Bonjour, Bonjour",5.0,13.0,https://youtube.com/watch?v=9eGeZuMuMTs
1969,Monaco,Jean-Jacques,"Maman, Maman",6.0,11.0,https://youtube.com/watch?v=hlbLPJ-ocxY
1969,Ireland,Muriel Day and the Lindsays,The Wages Of Love,7.0,10.0,https://youtube.com/watch?v=t0ipxjFO28I
1969,Belgium,Louis Neefs,Jennifer Jennings,7.0,10.0,https://youtube.com/watch?v=TKX8l_ye--8
1969,Sweden,Tommy Körberg,"Judy, Min Vän",9.0,8.0,https://youtube.com/watch?v=9idOs_F9-rA
1969,Germany,Siw Malmkvist,Primaballerina,9.0,8.0,https://youtube.com/watch?v=6tvMWASrMrc
1969,Luxembourg,Romuald,Cathérine,11.0,7.0,https://youtube.com/watch?v=reJAq87Wwrw
1969,Finland,Jarkko and Laura,Kuin Silloin Ennen,12.0,6.0,https://youtube.com/watch?v=-wXJGlSmquQ
1969,Yugoslavia,Ivan & M's,Pozdrav Svijetu,13.0,5.0,https://youtube.com/watch?v=-zubKloWHEw
1969,Italy,Iva Zanicchi,Due Grosse Lacrime Bianche,13.0,5.0,https://youtube.com/watch?v=9gIiGg--8Tw
1969,Portugal,Simone de Oliveira,Desfolhada Portuguesa,15.0,4.0,https://youtube.com/watch?v=_XkGlejI98s
1969,Norway,Kirsti Sparboe,"Oj, Oj, Oj, Så Glad, Jeg Skal Bli",16.0,1.0,https://youtube.com/watch?v=UL3t3UasWGE
1970,Ireland,Dana,All Kinds Of Everything,1.0,32.0,https://youtube.com/watch?v=ka5OfjwB3nM
1970,United Kingdom,Mary Hopkin,"Knock, Knock (who's there?)",2.0,26.0,https://youtube.com/watch?v=Kvo8pzEyxF4
1970,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,3.0,12.0,https://youtube.com/watch?v=sPI1wyizGL0
1970,Switzerland,Henri Dès,Retour,4.0,8.0,https://youtube.com/watch?v=X0ItTfqLk1I
1970,France,Guy Bonnet,Marie Blanche,4.0,8.0,https://youtube.com/watch?v=713TOCBiK_k
1970,Spain,Julio Iglesias,Gwendolyne,4.0,8.0,https://youtube.com/watch?v=ChvTMWYplAk
1970,Netherlands,Patricia and Hearts of Soul,Waterman,7.0,7.0,https://youtube.com/watch?v=Hx54yQGRYS8
1970,Italy,Gianni Morandi,Occhi Di Ragazza,8.0,5.0,https://youtube.com/watch?v=PDJeXmDZHWw
1970,Belgium,Jean Vallée,Viens L'oublier,8.0,5.0,https://youtube.com/watch?v=1uK41BM4c44
1970,Monaco,Dominique Dussault,Marlène,8.0,5.0,https://youtube.com/watch?v=UUfQ6k6KP_E
1970,Yugoslavia,Eva Sršen,"Pridi, Dala Ti Bom Cvet",11.0,4.0,https://youtube.com/watch?v=Pi3xEwDI1kU
1970,Luxembourg,David-Alexandre Winter,Je Suis Tombé Du Ciel,12.0,0.0,https://youtube.com/watch?v=9-nTwltlavQ
1971,Monaco,Séverine,"Un Banc, Un Arbre, Une Rue",1.0,128.0,https://youtube.com/watch?v=uFJ2CyPwwQg
1971,Spain,Karina,En Un Mundo Nuevo,2.0,116.0,https://youtube.com/watch?v=Qj_gHTw7V6Q
1971,Germany,Katja Ebstein,Diese Welt,3.0,100.0,https://youtube.com/watch?v=1DkxuvHIfAM
1971,United Kingdom,Clodagh Rodgers,Jack In The Box,4.0,98.0,https://youtube.com/watch?v=7IadDY3-sOM
1971,Italy,Massimo Ranieri,L'amore è Un Attimo,5.0,91.0,https://youtube.com/watch?v=yNCjU7y-yxc
1971,Sweden,Family Four,Vita Vidder,6.0,85.0,https://youtube.com/watch?v=Mq10KQ77dnY
1971,Netherlands,Saskia and Serge,De Tijd,6.0,85.0,https://youtube.com/watch?v=8gZFDQUtpj4
1971,Finland,Markku Aro and Koivisto Sisters,Tie Uuteen Päivään,8.0,84.0,https://youtube.com/watch?v=V_11CcVeSH0
1971,Portugal,Tonicha,Menina Do Alto Da Serra,9.0,83.0,https://youtube.com/watch?v=NBWJNsa-dKQ
1971,France,Serge Lama,Un Jardin Sur La Terre,10.0,82.0,https://youtube.com/watch?v=g6kue-HD7Z8
1971,Ireland,Angela Farrell,One Day Love,11.0,79.0,https://youtube.com/watch?v=9z2gCmhpdzM
1971,Switzerland,"Peter, Sue and Marc",Les Illusions De Nos Vingt Ans,12.0,78.0,https://youtube.com/watch?v=Egwke_ENofQ
1971,Luxembourg,Monique Melsen,"Pomme, Pomme, Pomme",13.0,70.0,https://youtube.com/watch?v=bOzHRKWz3WE
1971,Belgium,Lily Castel and Jacques Raymond,"Goeie Morgen, Morgen",14.0,68.0,https://youtube.com/watch?v=soj_H9jEkWY
1971,Yugoslavia,Krunoslav Slabinac,Tvoj Djecak Je Tuzan,14.0,68.0,https://youtube.com/watch?v=iX-LJdpxxbM
1971,Austria,Marianne Mendt,Musik,16.0,66.0,https://youtube.com/watch?v=AKzXt6841FU
1971,Norway,Hanne Krogh,Lykken Er...,17.0,65.0,https://youtube.com/watch?v=EkPyjhT2Yy4
1971,Malta,Joe Grech,Marija L-Maltija,18.0,52.0,https://youtube.com/watch?v=JSbHt3hcmnY
1972,Luxembourg,Vicky Leandros,Après Toi,1.0,128.0,https://youtube.com/watch?v=Ka89ORFu_Tc
1972,United Kingdom,The New Seekers,"Beg, Steal Or Borrow",2.0,114.0,https://youtube.com/watch?v=QyxJeV8OLjI
1972,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,3.0,107.0,https://youtube.com/watch?v=NySfW4y2_m8
1972,Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,4.0,106.0,https://youtube.com/watch?v=spZk2_FqqH0
1972,Austria,The Milestones,Falter Im Wind,5.0,100.0,https://youtube.com/watch?v=jFnrAn1codg
1972,Italy,Nicola di Bari,I Giorni Dell' Arcobaleno,6.0,92.0,https://youtube.com/watch?v=O6UUdV92CdA
1972,Portugal,Carlos Mendes,A Festa Da Vida,7.0,90.0,https://youtube.com/watch?v=1Uqb7dUn2uk
1972,Switzerland,Véronique Müller,C'est La Chanson De Mon Amour,8.0,88.0,https://youtube.com/watch?v=6gRJ9j0A834
1972,Yugoslavia,Tereza,Muzika I Ti,9.0,87.0,https://youtube.com/watch?v=AxNsQkYhZ3A
1972,Spain,Jaime Morey,Amanece,10.0,83.0,https://youtube.com/watch?v=gQhFbPhyhfI
1972,France,Betty Mars,Comé-comédie,11.0,81.0,https://youtube.com/watch?v=GUwgrOmiodk
1972,Finland,Päivi Paunu and Kim Floor,Muistathan,12.0,78.0,https://youtube.com/watch?v=RUomCAgQwKs
1972,Sweden,Family Four,Härliga Sommardag,13.0,75.0,https://youtube.com/watch?v=7xpOEArqJQc
1972,Norway,Grethe Kausland & Benny Borg,Småting,14.0,73.0,https://youtube.com/watch?v=EROlZbIbjH0
